,id_uni,name_uni,city,plz,county,address,traeger,nr_students,found_year,long,lat,ap_auf,ap_ing,ap_num,ap_mug,ap_gus,ap_ruw,ap_sloth,ap_suk,ap_kgm,ap_lsg,studies
390,a-9938,Cusanus Hochschule,Bernkastel-Kues,54470,Rheinland-Pfalz,Bahnhofstraße 5,privat,NaN,2015,49.91544200000, 7.07085680000,"0,0%","0,0%","0,0%","0,0%","0,0%","60,0%","0,0%","40,0%","0,0%","0,0%","['Ökonomie, Bachelor of Arts, Master of Arts', 'Philosophie, Bachelor of Arts, Master of Arts']"
391,a-3072,"CBS International Business School, Mainz",Mainz,55116,Rheinland-Pfalz,Rheinstr. 4 L,privat,4000,1993,49.99529640000, 8.28038400000,"0,0%","0,0%","0,0%","0,0%","0,0%","100,0%","0,0%","0,0%","0,0%","0,0%","['Betriebswirtschaft und Management, Bachelor of Arts', 'Controlling und Finanzmanagement (berufsbegleitend), Master of Arts', 'General Management (berufsbegleitend), Master of Arts', 'General Management (dual), Bachelor of Arts', 'International Business, Bachelor of Arts', 'Marketing Management (berufsbegleitend), Master of Arts', 'Personal- und Changemanagement (berufsbegleitend), Master of Arts', 'Strategisches Management und Consulting (berufsbegleitend), Master of Arts']"
392,a-320,Johannes Gutenberg-Universität Mainz,Mainz,55122,Rheinland-Pfalz,Saarstraße 21,staatlich,31000,1477,49.99375340000, 8.23547280000,"0,0%","0,4%","11,1%","1,9%","9,6%","6,5%","0,0%","36,4%","10,3%","23,8%","[', Master of Science', 'Veranstaltungshinweise, Bachelor of Arts, Master of Arts', 'Medienrecht, Fachanwalt für Urheber- und Medienrecht - Fachanwalt für Informationstechnologierecht, Bachelor of Arts, Master of Arts', 'Veranstaltungshinweise, Bachelor of Arts', ', Master of Arts', 'Accounting and Finance, Master of Science', 'Ägyptologie / Altorientalistik, Master of Science', 'American Studies, Bachelor of Arts, Master of Arts', 'American Studies / Anglais, Bachelor of Arts', 'American Studies / Études anglophones, Bachelor of Arts', 'Angewandte Bioinformatik, Bachelor of Arts', 'Anthropologie, Bachelor of Arts', 'Archäologie, Bachelor of Arts', 'Archäologie, Christliche und Byzantinische Kunstgeschichte, Bachelor of Education, Master of Education', 'Archäologie, Vor- und Frühgeschichtliche, Bachelor of Science, Master of Science', 'Archäologien, Bachelor of Science', 'Archäologische Restaurierung, Bachelor of Education, Master of Education', 'Audiovisuelles Publizieren, Master of Arts', 'Bildungswissenschaften (Lehramt), Bachelor of Science, Master of Science', 'Biologie, Bachelor of Arts, Master of Arts', 'Biologie (berufsbegleitend), Bachelor of Arts, Master of Arts', 'Biologie (Lehramt), Bachelor of Science, Master of Science', 'Biomedizin, Bachelor of Education, Master of Education', 'Biomedizinische Chemie, Master of Music', 'British Studies, Master of Science', 'Buchwissenschaft, Bachelor of Education, Master of Education', 'Chemie, Bachelor of Education, Master of Education', 'Chemie (Lehramt), Master of Arts', 'Chor- und Orchesterdirigieren, Master', 'Computational Science / Rechnergestützte Naturwissenschaften, Master of Arts', 'Deutsch (Lehramt), Master of Laws', 'Deutsch / Allemand (Lehramt), Bachelor of Laws', 'Deutsch als Fremdsprache, Master of Arts', 'Deutsch-französischer integrierter Studiengang Lehramt im Sekundarbereich, Bachelor of Music', 'Deutsch-französischer Master Fach- und Medienübersetzen (double degree), Master of Arts', 'Deutsches Recht für im Ausland graduierte Juristen, Bachelor of Education, Master of Education', 'Deutsches und Französisches Recht, Bachelor of Education, Master of Education', 'Digitale Methodik in den Geistes- und Kulturwissenschaften, Bachelor of Arts, Master of Arts', 'Elementare Musikpädagogik, Master of Science', 'Empirische Demokratieforschung, Bachelor of Arts, Master of Arts', 'Englisch (Lehramt), Bachelor of Arts, Master of Arts', 'Englisch / Anglais (Lehramt), Master of Arts', 'English Literature and Culture, Master of Theology', 'Epidemiologie (berufsbegleitend), Bachelor of Education, Master of Education', 'Erziehungswissenschaft, Bachelor of Arts', 'Ethnologie, Bachelor of Education', 'European Studies, Bachelor of Arts', 'Evangelisch-Theologische Studien, Master of Arts', 'Evangelische Religionslehre (Lehramt), Bachelor of Arts', 'Evangelische Theologie, Bachelor of Education, Master of Education', 'Evangelische Theologie (Lehramt), Bachelor of Arts', 'Filmwissenschaft, Bachelor of Education, Master of Education', 'Filmwissenschaft / Mediendramaturgie, Master of Arts', 'Französisch, Bachelor of Science', 'Französisch (Lehramt), Bachelor of Education, Master of Education', 'Französisch / Lettres modernes, Bachelor of Education, Master of Education', 'Französisch / Lettres modernes (Lehramt), Bachelor of Science, Master of Science', 'Französische Literaturwissenschaft und Kulturkontakte / Lettres modernes, Bachelor of Arts, Master of Arts', 'Geographie, Bachelor of Arts', 'Geographie (Lehramt), Master of Arts', 'Geographie / Géographie (Lehramt), Bachelor of Arts, Master of Arts', 'Geowissenschaften, Bachelor of Education, Master of Education', 'Germanistik, Bachelor of Arts', 'Germanistik / Allemand, Master of Arts', 'Germanistik / Recherche Etudes germaniques, Master of Arts', 'Geschichte, Master of Arts', 'Geschichte (Lehramt), Bachelor of Education, Master of Education', 'Geschichte / Histoire, Bachelor of Education, Master of Education', 'Geschichte / Histoire - Schwerpunkt Alte Geschichte / Histoire ancienne, Master of Arts', 'Geschichte / Histoire - Schwerpunkt Geschichte (Mittelalter) / Histoire médiévale, Bachelor of Science', 'Geschichte / Histoire - Schwerpunkt Geschichte (Neuzeit) / Histoire moderne et contemporaine, Bachelor of Education, Master of Education', 'Geschichte / Histoire (Lehramt), Master of Science', 'Griechisch (Lehramt), Master of Science', 'Humographie: Globalisierung, Medien und Kultur, Master of Laws', 'Informatik, Bachelor of Arts', 'Informatik (Lehramt), Bachelor of Education, Master of Education', 'International Economics and Public Policy, Master of Arts', 'International Master in Atmospheric Sciences, Bachelor of Music, Master of Music', 'Internationales Privatrecht und europäisches Einheitsrecht, Master of Arts', 'Italienisch, Diplom, Kirchlicher Abschluss', 'Italienisch (Lehramt), Bachelor of Education, Master of Education', 'Italienische Literaturwissenschaft und Kulturkontakte / Etudes italiennes, Bachelor, Master', 'Jazz und Populäre Musik, Master of Music', 'Journalismus, Bachelor of Music, Master of Music', 'Katholische Theologie, Master of Science', 'Katholische Theologie / Religionslehre (Lehramt), Master of Arts', 'Kirchenmusik, Master of Arts', 'Klangkunst/Komposition, Master of Arts', 'Klavier, Master of Arts', 'Klima- und Umweltwandel (Physische Geographie), Bachelor of Arts', 'Kommunikations- und Medienforschung, Master of Arts', 'Kommunikationswissenschaften, Master of Arts', 'Komparatistik, Examen', 'Komparatistik - Weltliteratur, Bachelor of Arts', 'Komparatistik / Europäische Literatur, Bachelor of Arts, Master of Arts', 'Komparatistik / Lettres modernes, Bachelor of Education, Master of Education', 'Konferenzdolmetschen, Diplom', 'Konzertexamen, Bachelor of Arts, Master of Arts', 'Kultur, Theater, Film, Master of Arts', 'Kulturanthropologie / Volkskunde, Bachelor of Education, Master of Education', 'Kunst, (Freie) Bildende (Lehramt), Master of Music', 'Kunst, Freie Bildende (Diplom), Bachelor of Arts, Master of Arts', 'Kunstgeschichte, Master of Science', 'Kunstgeschichte / Histoire de l’art, Bachelor of Science, Master of Science', 'Latein (Lehramt), Bachelor of Education, Master of Education', 'Liedbegleitung/Korrepetition, Master of Arts', 'Linguistik, Master of Arts', 'Management, Master of Laws', 'Mathematik, Staatsexamen', 'Mathematik (Lehramt), Bachelor of Science, Master of Science', 'Medienkulturwissenschaft, Bachelor of Science', 'Medienmanagement, Bachelor of Music', 'Medienrecht, Bachelor of Education, Master of Education', 'Medizin, Master of Music', 'Meteorologie, Bachelor of Arts, Master of Arts', 'Molekulare Biologie, Master of Science', 'Musik, Bachelor of Music', 'Musik (Lehramt), Bachelor of Music, Master of Music', 'Musiktheorie, Master of Music', 'Musikwissenschaft, Master of Music', 'Naturwissenschaftliche Informatik, Staatsexamen', 'Oper und Konzert, Bachelor of Arts, Master of Arts', 'Orchesterinstrumente, Bachelor of Education', 'Orgelimprovisation, Master of Arts', 'Orgelliteraturspiel, Bachelor of Education, Master of Education', 'Pharmazie, Bachelor of Science, Master of Science', 'Philosophie, Bachelor of Education, Master of Education', 'Philosophie (Lehramt), Master of Science', 'Philosophie / Philosophie: imaginaire et rationalité, Bachelor of Arts', 'Philosophie/Ethik (Lehramt), Master of Arts', 'Physik, Bachelor of Science', 'Physik (Lehramt), Bachelor of Science', 'Physische Geographie: klima- und Umwelt, Master of Science', 'Politikwissenschaft, Bachelor of Arts', 'Politische Ökonomie und Internationale Beziehungen, Magister, Staatsexamen', 'Polymerchemie (berufsbegleitend), Master of Arts', 'Psychologie, Bachelor of Education, Master of Education', 'Psychologie - Klinische Psychologie und Psychotherapie, Bachelor of Arts, Master of Arts', 'Publizistik, Bachelor of Arts, Master of Arts', 'Rechtswissenschaft, Master of Arts', 'Romanistik (interkulturell), Bachelor of Education, Master of Education', 'Russisch (Lehramt), Bachelor of Arts', 'Slavistik: Schwerpunkt Polonistik, Master of Arts', 'Slavistik: Schwerpunkt Russistik, Bachelor of Arts', 'Sociolinguistics and Multilingualism, Bachelor of Education, Master of Education', 'Sozialkunde (Lehramt), Bachelor of Education, Master of Education', 'Soziologie, Bachelor of Arts', 'Soziologie: Forschungspraxis und Praxisforschung, Master of Arts', 'Spanisch, Master of Science', 'Spanisch (Lehramt), Bachelor of Arts', 'Sport (Lehramt), Bachelor of Arts, Master of Arts', 'Sport und Sportwissenschaft, Master of Arts', 'Sports Ethics and Integrity, Master of Arts', 'Sportwissenschaft, Master', 'Sprache, Kultur, Translation, Master of Arts', 'Theaterwissenschaft, Bachelor of Science, Master of Science', 'Translation, Master of Education', 'Unternehmenskommunikation/ PR, Bachelor, Bachelor of Science', 'Voice, Master of Science', 'Weltliteratur, Staatsexamen']"
393,a-323,Katholische Hochschule Mainz,Mainz,55122,Rheinland-Pfalz,Saarstraße 3,kirchlich,NaN,1972,49.99715390000, 8.25367290000,"0,0%","0,0%","0,0%","40,0%","60,0%","0,0%","0,0%","0,0%","0,0%","0,0%","['Gesundheit & Pflege, Bachelor of Science', 'Klinische Expertise in Gesundheit und Pflege, Master of Science', 'Management in Gesundheit und Pflege, Master of Arts', 'Pädagogik in Gesundheit und Pflege, Master of Arts', 'Praktische Theologie, Bachelor of Arts', 'Soziale Arbeit, Bachelor of Arts', 'Soziale Arbeit - Beratung und Case Management, Master of Arts', 'Soziale Arbeit/Praktische Theologie, Bachelor of Arts', 'Sozialwissenschaften: Migration und Integration, Bachelor of Arts']"
394,a-183,Hochschule Mainz,Mainz,55128,Rheinland-Pfalz,Lucy-Hillebrand-Str. 2,staatlich,5200,1996,49.98842500000, 8.22703460000,"0,0%","27,3%","14,5%","0,0%","0,0%","38,2%","0,0%","12,7%","7,3%","0,0%","[', Bachelor of Science', 'Betriebswirtschaftslehre, Bachelor of Science', 'Betriebswirtschaftslehre (berufsintegrierend), Bachelor of Engineering', 'Business Administration, Bachelor of Engineering', ', Master of Science', ', Master of Science', ', Bachelor of Engineering, Master of Engineering', ', Bachelor of Engineering', ', Master of Engineering', ', Bachelor of Science', ', Bachelor of Science', ', Bachelor of Science', ', Master of Science', ', Master of Laws', ', Bachelor of Science', ', Bachelor of Science', ', Master of Arts', ', Master of Engineering', ', Bachelor of Science, Master of Science', ', Bachelor of Science', ', Master of Arts', ', Bachelor of Arts', ', Master of Arts', ', Master of Arts', ', Master of Science', ', Bachelor of Engineering', ', Master of Science', ', Master of Arts', ', Bachelor of Arts', ', Master of Science', ', Master of Science', ', Master of Arts', ', Bachelor of Science', 'Angewandte Informatik, Master', 'Angewandte Informatik (öffentlicher Dienst) (dual), Master of Science', 'Architektur, Bachelor of Engineering', 'Architektur mit integrierter Praxis, Bachelor of Science', 'Architektur: Integrierte Wohnungsbauentwicklung, Bachelor of Engineering', 'Auditing (berufsintegrierend), Bachelor of Laws, Master of Laws', 'Bau- und Immobilienmanagement / Facilities Management, Master of Laws', 'Bauingenieurwesen, Bachelor of Arts, Master of Arts']"
395,a-10312,FOM Hochschule für Oekonomie & Management gemeinnützige GmbH,Mainz,55130,Rheinland-Pfalz,Wilhelm-Theodor-Römheld-Str. 14,privat,NaN,1991,49.98072220000, 8.29051780000,"0,0%","7,1%","3,6%","14,3%","17,9%","57,1%","0,0%","0,0%","0,0%","0,0%","[', Bachelor of Science', 'Betriebswirtschaft & Wirtschaftspsychologie (berufsbegleitend), Bachelor of Arts', 'Business Administration (berufsbegleitend), Master of Science', 'Gesundheitspsychologie & Medizinpädagogik (berufsbegleitend), Master of Science', ', Bachelor of Arts', ', Master of Science', ', Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Laws', ', Bachelor of Science', ', Master of Science', ', Master of Science', ', Bachelor of Laws']"
396,a-3165,Hochschule des Bundes für öffentliche Verwaltung – Fachbereich Kriminalpolizei,Mainz-Kastel,55252,Hessen,Lorenz-Schott-Straße 4,staatlich,NaN,NaN,50.02589000000, 8.27704000000,"0,0%","0,0%","66,7%","0,0%","0,0%","0,0%","33,3%","0,0%","0,0%","0,0%","['Verwaltungsinformatik (dual), Bachelor of Science', 'Verwaltungsinformatik (dual), Bachelor of Arts', 'Informatik (dual), Diplom']"
397,a-99,Technische Hochschule Bingen,Bingen,55411,Rheinland-Pfalz,Berlinstraße 109,staatlich,2700,1897,49.95273000000, 7.92556000000,"12,1%","51,5%","30,3%","3,0%","0,0%","3,0%","0,0%","0,0%","0,0%","0,0%","[', Bachelor of Science', 'Biotechnologie, Bachelor', 'Energie-Betriebsmanagement (berufsbegleitend), Bachelor of Science', 'Biotechnologie, Bachelor of Science', ', Bachelor of Science, Master of Engineering', 'Agrarwirtschaft, Bachelor of Science', 'Agrarwirtschaft (ausbildungsintegriert), Master of Science', 'Angewandte Bioinformatik, Master of Engineering', 'Biotechnologie, Bachelor of Science, Master of Science', 'Elektrotechnik, Bachelor of Science', 'Energie- und Verfahrenstechnik, Master of Science', 'Energie-, Gebäude- und Umweltmanagement, Bachelor of Engineering, Master of Science', 'Energie-Betriebsmanagement (berufsbegleitend), Bachelor of Engineering', 'Informatik, Bachelor of Engineering', 'Klimaschutz und Klimaanpassung, Bachelor of Science', 'Landwirtschaft und Umwelt, Bachelor of Science', 'Maschinenbau, Master of Engineering', 'Maschinenbau – Industrial Engineering (ausbildungsintegriert), Bachelor of Science', 'Maschinenbau – Industrial Engineering (berufsintegriert), Bachelor of Science', 'Medizinische Biotechnologie (praxisintegrierend), Bachelor of Engineering', 'Medzinische Biotechnologie (berufsintegrierend), Bachelor of Science', 'Prozesstechnik (berufsbegleitend), Bachelor of Science', 'Regenerative Energiewirtschaft und Versorgungstechnik, Bachelor of Science', 'Regenerative Energiewirtschaft und Versorgungstechnik (ausbildungsintegrierend), Master of Science', 'Smart Systems Engineering, Bachelor of Science', 'Umweltschutz, Master of Business Administration', 'Verfahrens- und Prozesstechnik (berufsintegrierend), Bachelor of Engineering, Master of Engineering']"
398,a-136,Hochschule für öffentliche Verwaltung Rheinland-Pfalz,Lautzenhausen,55483,Rheinland-Pfalz,Flugplatz Hahn,staatlich,NaN,NaN,49.94022440000, 7.27022730000,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","100,0%","0,0%","0,0%","0,0%","['Polizei der Länder, Diplom']"
399,a-2656,Hochschule Trier – Standort Idar-Oberstein,Idar-Oberstein,55743,Rheinland-Pfalz,Vollmersbachstraße 53a,staatlich,NaN,NaN,49.71965000000, 7.31407000000,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","100,0%","0,0%","['Edelstein- und Schmuckdesign, Bachelor of Arts, Master of Arts']"
400,a-211,Umwelt-Campus Birkenfeld – Hochschule Trier,Hoppstädten-Weiersbach,55768,Rheinland-Pfalz,Campusallee,staatlich,2700,1996,49.60734160000, 7.17097430000,"0,0%","36,4%","33,3%","0,0%","0,0%","24,2%","0,0%","6,1%","0,0%","0,0%","['Angewandte Informatik, Bachelor of Science, Master of Science', 'Bio- und Pharmatechnik, Bachelor of Science', 'Bio- und Pharmatechnik (dual), Bachelor of Science', 'Bio- und Prozessverfahrenstechnik, Master of Science', 'Bio-, Umwelt- und Prozess- Verfahrenstechnik, Bachelor of Engineering, Master of Science', 'Business Administration and Engineering, Master of Science', 'Digitale Produktentwicklung - Maschinenbau, Master of Science', 'Erneuerbare Energien, Bachelor of Science', 'Insolvenzrecht und Reorganisationsverfahren, Master of Laws', 'International Material Flow Management, Master of Engineering, Master of Science', 'Maschinenbau, Bachelor of Engineering, Master of Engineering', 'Medieninformatik, Bachelor of Science, Master of Science', 'Nachhaltige Prozessverfahrenstechnik, Master of Science', 'Nachhaltige Ressourcenwirtschaft (dual), Bachelor', 'Physikingenieurwesen, Bachelor of Engineering', 'Produktionstechnologie (dual), Bachelor of Engineering', 'Sustainable Change - Vom Wissen zum Handeln (berufsbegleitend), Master of Arts', 'Umwelt - und Wirtschaftsinformatik, Bachelor of Science', 'Umwelt- und Betriebswirtschaft, Bachelor of Arts, Master of Arts', 'Umweltorientierte Energietechnik, Master of Science', 'Unternehmens- und Energierecht, Master of Laws', 'Wirtschafts- und Umweltrecht, Bachelor of Laws', 'Wirtschaftsingenieurwesen - Umweltplanung, Bachelor of Science']"
401,a-442,"Universität Koblenz-Landau, Studienort Koblenz",Koblenz,56070,Rheinland-Pfalz,Emil-Schüller-Str. 12,staatlich,8000,1990,50.35333220000, 7.59226030000,"1,6%","9,8%","15,4%","0,0%","15,4%","6,5%","0,0%","10,6%","1,6%","39,0%","[', Bachelor of Science', 'Angewandte Naturwissenschaften, Master of Science', 'Computervisualistik, Bachelor of Arts', 'Computervisualistik, Master of Science', ', Bachelor of Education, Master of Education', ', Master of Education', ', Bachelor of Science, Master of Science', ', Bachelor of Education, Master of Education', ', Master of Engineering', ', Bachelor of Education, Master of Education', ', Master of Science', ', Bachelor of Science, Master of Science', ', Bachelor of Education, Master of Education', ', Master of Science', ', Bachelor of Science, Master of Science', ', Bachelor of Education, Master of Education', ', Master of Science', ', Bachelor of Education, Master of Education', ', Master of Arts', ', Bachelor of Education, Master of Education', ', Bachelor of Education, Master of Education', ', Bachelor of Arts', ', Bachelor of Education, Master of Education', ', Bachelor of Arts', ', Master of Arts', ', Bachelor of Arts', ', Bachelor of Education, Master of Education', ', Bachelor of Education, Master of Education', ', Bachelor of Education, Master of Education', ', Bachelor of Science, Master of Science', ', Bachelor of Education, Master of Education', ', Bachelor of Science, Master of Science', ', Master of Arts', 'Angewandte Naturwissenschaften, Bachelor of Education, Master of Education', 'Angewandte Umweltwissenschaften, Bachelor of Education, Master of Education', 'Anglistik, Bachelor of Arts, Master of Arts', 'Applied Physics, Bachelor of Arts', 'Bautechnik (Lehramt), Bachelor', 'Bildende Kunst (Lehramt), Master of Science', 'BioGeoWissenschaften, Bachelor', 'Biologie (Lehramt), Bachelor of Education, Master of Education', 'Ceramic Science and Engineering, Bachelor of Science', 'Chemie (Lehramt), Bachelor of Education, Master of Education', 'Chemie und Physik funktionaler Materialien, Bachelor of Education, Master of Education', 'Computervisualistik, Bachelor of Arts', 'Deutsch (Lehramt), Bachelor of Arts', 'E-Government, Master of Arts', 'Ecological Impact Assessment, Bachelor of Education, Master of Education', 'Elektrotechnik (Lehramt), Bachelor of Arts', 'Energiemanagement, Bachelor', 'Englisch (Lehramt), Bachelor of Education, Master of Education', 'Erziehungswissenschaft, Bachelor of Science, Master of Science', 'Ethik (Lehramt), Master of Science', 'Evangelische Religionslehre (Lehramt), Bachelor', 'Evangelische Theologie, Bachelor of Education, Master of Education', 'Geographie (Lehramt), Bachelor of Education', 'Germanistik, Master of Arts', 'Germanistik: Dynamiken der Vermittlung, Master of Arts', 'Geschichte, Master of Science', 'Geschichte (Lehramt), Bachelor of Education, Master of Education', 'Grundschulbildung (Lehramt), Bachelor of Science, Master of Science', 'Holztechnik (Lehramt), Bachelor of Arts, Bachelor of Science']"
402,a-10342,FOM Hochschule für Oekonomie & Management gemeinnützige GmbH,Koblenz,56073,Rheinland-Pfalz,Moselweißerstr. 40,privat,NaN,NaN,50.36057280000, 7.58164120000,"0,0%","0,0%","0,0%","25,0%","25,0%","50,0%","0,0%","0,0%","0,0%","0,0%","['Betriebswirtschaft & Wirtschaftspsychologie, Bachelor of Science', 'Business Administration, Bachelor of Arts', 'Business Consulting & Digital Management, Master of Science', 'Gesundheitspsychologie & Medizinpädagogik, Bachelor of Arts', 'Management & Digitalisierung, Bachelor of Arts', 'Pflege, Bachelor of Arts', 'Public Health, Master of Science', 'Wirtschaftsinformatik, Bachelor of Science', 'Wirtschaftspsychologie, Master of Science']"
403,a-174,Hochschule Koblenz,Koblenz,56075,Rheinland-Pfalz,Konrad-Zuse-Straße 1,staatlich,8463,1996,50.33601820000, 7.56994350000,"0,0%","34,1%","8,2%","5,9%","17,6%","29,4%","0,0%","0,0%","2,4%","2,4%","['Advanced Professional Studies, Master of Arts', 'Applied Mathematics, Master of Science', 'Applied Physics, Master of Science', 'Architektur, Bachelor of Arts, Master of Arts', 'Bauingenieurwesen, Bachelor of Engineering, Master of Engineering', 'Bauingenieurwesen (berufsbegleitend), Bachelor of Engineering', 'Bauingenieurwesen (dual), Bachelor of Engineering', 'Bauwirtschaftsingenieur, Bachelor of Science', 'Bauwirtschaftsingenieurwesen, Bachelor of Science', 'Betriebswirtschaft / Business Management, Master of Science', 'Betriebswirtschaftslehre, Master of Arts', 'Bildung & Erziehung plus (dual), Bachelor of Arts', 'Bildung und Erziehung, Bachelor of Arts', 'Bildungs- und Sozialmanagement - Frühe Kindheit, Bachelor of Arts', 'Biomathematik, Bachelor of Science', 'Business Administration, Bachelor of Science', 'Business Administration – Steuern dual, Bachelor of Science', 'Business Administration dual, Bachelor of Science', 'Business Administration für Betriebswirt/in (VWA) (berufsbegleitend), Bachelor of Science', 'Business Management, Master of Science', 'Ceramic Science and Engineering, Master of Engineering', 'Economic and Social Research, Master of Arts', 'Elektrotechnik, Bachelor of Engineering', 'Elektrotechnik (dual), Bachelor of Engineering', 'Entwicklung und Konstruktion, Bachelor of Engineering', 'Financial Risk Management, Master of Business Administration', 'Freie Kunst Keramik / Glas, Bachelor of Fine Arts, Master of Fine Arts', 'Gesundheits- und Sozialmanagement, Bachelor of Arts', 'Gesundheits- und Sozialwirtschaft (berufsbegleitend), Master of Business Administration', 'Human Resources Management, Master of Science', 'Human Resources Management (berufsbegleitend), Master of Arts', 'Informationstechnik, Bachelor of Engineering', 'Informationstechnik (dual), Bachelor of Engineering', 'Integrierte Orts- und Sozialraumentwicklung, Master of Science', 'Keramik - Wirtschaftsingenieurwesen, Bachelor of Science', 'Kindheits- und Sozialwissenschaften, Master of Arts', 'Lasertechnik & Optische Technologien, Bachelor of Science', 'Leadership (berufsbegleitend), Master of Business Administration', 'Lehramt an berufsbildenden Schulen, Bachelor of Education, Master of Education', 'Logistik und E-Business, Bachelor of Arts', 'Logistikmanagement (berufsbegleitend), Master of Business Administration', 'Management von Finanzsituationen (berufsbegleitend), Master of Business Administration', 'Management, Führung, Innovation, Bachelor of Arts', 'Marketing and International Business, Bachelor of Science', 'Marketingmanagement (berufsbegleitend), Master of Business Administration', 'Maschinenbau, Bachelor of Engineering, Master of Engineering', 'Maschinenbau (dual), Bachelor of Engineering', 'Mechatronik, Bachelor of Engineering', 'Mechatronik (dual), Bachelor of Engineering', 'Medizintechnik, Bachelor of Science', 'Mittelstandsmanagement, Bachelor of Science', 'Pädagogik der Frühen Kindheit (berufsbegleitend), Bachelor of Arts', 'Produktionsmanagement (berufsbegleitend), Master of Business Administration', 'Public Administration (berufsbegleitend), Master of Business Administration', 'Software Engineering, Bachelor of Engineering', 'Soziale Arbeit, Bachelor of Arts', 'Soziale Arbeit (berufsbegleitend), Bachelor of Arts', 'Sportmanagement, Bachelor of Arts, Master of Arts, Master of Business Administration', 'Sportmedizinische Technik, Bachelor of Science', 'Systemtechnik, Master of Engineering', 'Technomathematik, Bachelor of Science', 'Umwelt-, Wasser- und Infrastrukturmanagement, Bachelor of Engineering', 'Unternehmensführung/ Finanzmanagement, Master of Business Administration', 'Wasserbau/Bauingenieurwesen (dual), Bachelor', 'Werkstofftechnik Glas und Keramik, Bachelor of Engineering', 'Werkstofftechnik Glas und Keramik (dual), Bachelor of Engineering', 'Wirtschaftsingenieurwesen, Bachelor of Science, Master of Science', 'Wirtschaftsmathematik, Bachelor of Science']"
404,a-377,Philosophisch-Theologische Hochschule Vallendar (PTHV gGmgH),Vallendar,56179,Rheinland-Pfalz,Pallottistraße 3,privat,350,1896,50.40154960000, 7.62679700000,"0,0%","0,0%","0,0%","37,5%","37,5%","0,0%","0,0%","0,0%","0,0%","25,0%","['Community Health Nursing, Master of Science', 'Lehramt Pflege an berufsbildenden Schulen (BBS), Bachelor of Education, Master of Education', 'Pflegeexpertise, Bachelor of Science', 'Pflegewissenschaft, Master of Science', 'Theologie, Bachelor, Diplom, Master']"
405,a-466,WHU – Otto Beisheim School of Management,Vallendar,56179,Rheinland-Pfalz,Burgplatz 2,privat,1302,1984,50.40035900000, 7.61350660000,"0,0%","0,0%","0,0%","0,0%","14,3%","85,7%","0,0%","0,0%","0,0%","0,0%","['BWL/Management, Bachelor of Science', 'Finance, Master of Science', 'Management, Master of Science', 'Master in Entrepreneurship, Master of Science', 'Master in international Business, Master of Science', 'Wirtschaftspsychologie, Bachelor of Science']"
406,a-1759,"Hochschule Koblenz, Campus Höhr-Grenzhausen",Höhr-Grenzhausen,56203,Rheinland-Pfalz,Rheinstraße 80,staatlich,NaN,NaN,50.43174720000, 7.66211120000,"0,0%","66,7%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","33,3%","0,0%","['Ceramic Science and Engineering, Master of Engineering', 'Freie Kunst Keramik / Glas, Bachelor of Fine Arts, Master of Fine Arts', 'Keramik - Wirtschaftsingenieurwesen, Bachelor of Science', 'Werkstofftechnik Glas und Keramik, Bachelor of Engineering', 'Werkstofftechnik Glas und Keramik (dual), Bachelor of Engineering']"
407,a-7928,ADG Business School an der Steinbeis-Hochschule,Montabaur,56410,Rheinland-Pfalz,Schloss Montabaur,privat,NaN,NaN,50.43881990000, 7.82716070000,"0,0%","0,0%","0,0%","0,0%","0,0%","100,0%","0,0%","0,0%","0,0%","0,0%","[', Master of Science', 'Bachelor Business Administration | Fokus Digital Innovation, Master of Science', 'Bachelor Business Administration | Fokus General Management, Bachelor of Arts, Master of Science', 'Bachelor Business Administration | Fokus Handel, Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Arts']"
408,a-140,Hochschule für öffentliche Verwaltung Rheinland-Pfalz,Mayen,56727,Rheinland-Pfalz,St.-Veit-Straße 26-28,staatlich,NaN,NaN,50.32806000000, 7.22945000000,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","100,0%","0,0%","0,0%","0,0%","['Allgemeiner innerer Verwaltungsdienst, Diplom', 'Verwaltungsbetriebswirtschaft, Diplom']"
